4x4_sum_DT WS -  fix_S1
3827.0
7136.0
2448.0
2006.0
6142.0
6544.0
6689.0
3945.0
895.0
6793.0
2758.0
6674.0
4048.0
4700.0
11395.0
12320.0
4473.0
1060.0
7419.0
7108.0
11348.0
6422.0
2014.0
1667.0
5117.0
6478.0
13660.0
2366.0
63809.0
22147.0
5437.0
3856.0
6295.0
3363.0
16780.0
1123.0
9735.0
2749.0
52515.0
5437.0
2462.0
1822.0
2076.0
1961.0
25195.0
4243.0
1565.0
3530.0
1085.0
6822.0
7328.0
2872.0
9676.0
