4x4_sum_DT WS -  fix_S1,DT-D/DT-N
5437.0,0.8974110815388338
63809.0,0.9022916474266791
4473.0,0.7289036402263249
2953.0,0.9829346750889874
1060.0,0.9426816188648685
6295.0,1.0400146934822718
1565.0,2.545037334722532
7108.0,0.6465346064319984
5117.0,0.8649853512348946
6142.0,1.0685352603835958
2366.0,0.8055344555177443
2608.0,1.3461899977311769
6422.0,0.843435052125034
4243.0,1.2933348177201531
1667.0,0.9570240225086778
9735.0,1.0114369717015803
2749.0,0.8292300444639481
3945.0,0.8708095188610621
25195.0,0.8274575429774763
1961.0,1.0860526315789474
2462.0,0.9221244533431687
2872.0,0.8316056826629222
1822.0,0.7294349136075755
895.0,1.836968132455047
11395.0,0.7764429809621135
3856.0,0.8788304557984682
22147.0,0.9374973188623397
4700.0,1.0676899331161036
16780.0,0.645751085669167
3363.0,0.8126532476200513
1123.0,0.719152383388761
11348.0,1.4255945562021721
6689.0,1.049746038844876
7419.0,0.470107542308543
12569.0,0.7059016998371558
5353.0,0.46485364917949523
2006.0,1.0830705962988347
6544.0,0.9383947658223748
7328.0,0.8667541690593102
3530.0,0.8136878828060871
12320.0,0.8286083522362702
7136.0,0.9036318781858581
8190.0,0.8324380538976307
11657.0,0.8111487435069493
6793.0,0.7983837699266287
4048.0,0.9297302749121088
52515.0,0.9611572890025576
2448.0,0.9229124805487151
2758.0,0.8508053083269365
6822.0,1.2689977063531015
13660.0,0.6612874895709832
3827.0,0.17757028685895446
6674.0,0.4264138947490102
